45,如何开机自动启动 Kubelet？,执行以下命令开机自动启动 Kubelet：\n```bash\nsystemctl enable kubelet\n```
46,如何安装 KLTS（基于 Debian 的发行版）？,执行以下命令安装：\n```bash\napt-get install kubeadm kubelet kubectl\n```
47,如何安装 KLTS（基于 Red Hat 的发行版）？,执行以下命令安装：\n```bash\nyum install kubeadm kubelet kubectl\n```
48,如何设置 KLTS 的软件源（基于 Debian 的发行版，国内加速 🚀）？,执行以下代码设置下载 KLTS 的软件源：\n```bash\ncurl https://raw.githubusercontent.com/wzshiming/github-hosts/master/hosts >>/etc/hosts\nVERSION=1.18.20-lts.2\ncat << EOF > /etc/apt/sources.list.d/klts.list\ndeb [trusted=yes] https://raw.githubusercontent.com/klts-io/kubernetes-lts/deb-v${VERSION} stable main\ndeb [trusted=yes] https://raw.githubusercontent.com/klts-io/others/deb stable main\nEOF\napt-get update\n```
49,如何设置 KLTS 的软件源（基于 Red Hat 的发行版，国内加速 🚀）？,执行以下代码设置下载 KLTS 的软件源：\n```bash\ncurl https://raw.githubusercontent.com/wzshiming/github-hosts/master/hosts >>/etc/hosts\nVERSION=1.18.20-lts.2\ncat << EOF > /etc/yum.repos.d/klts.repo\n[klts]\nname=klts\nbaseurl=https://raw.githubusercontent.com/klts-io/kubernetes-lts/rpm-v${VERSION}/\$basearch/\nenabled=1\ngpgcheck=0\n[klts-other]\nname=klts-others\nbaseurl=https://raw.githubusercontent.com/klts-io/others/rpm/\$basearch/\nenabled=1\ngpgcheck=0\nEOF\nyum makecache\n```
50,如何设置 KLTS 的软件源（基于 Debian 的发行版）？,执行以下代码设置下载 KLTS 的软件源：\n```bash\nVERSION=1.18.20-lts.2\ncat << EOF > /etc/apt/sources.list.d/klts.list\ndeb [trusted=yes] https://raw.githubusercontent.com/klts-io/kubernetes-lts/deb-v${VERSION} stable main\ndeb [trusted=yes] https://raw.githubusercontent.com/klts-io/others/deb stable main\nEOF\napt-get update\n```
51,如何设置 KLTS 的软件源（基于 Red Hat 的发行版）？,执行以下代码设置下载 KLTS 的软件源：\n```bash\nVERSION=1.18.20-lts.2\ncat << EOF > /etc/yum.repos.d/klts.repo\n[klts]\nname=klts\nbaseurl=https://raw.githubusercontent.com/klts-io/kubernetes-lts/rpm-v${VERSION}/\$basearch/\nenabled=1\ngpgcheck=0\n[klts-other]\nname=klts-others\nbaseurl=https://raw.githubusercontent.com/klts-io/others/rpm/\$basearch/\nenabled=1\ngpgcheck=0\nEOF\nyum makecache\n```
52,如何安装 KLTS？,KLTS 提供了基于 deb 和 rpm 软件源的安装方式，可以设置 KLTS 软件源并使用相应的命令进行安装。
53,如何构建 containerd？,```bash\nVERSION=1.5.4\nwget -c https://github.com/containerd/containerd/releases/download/v${VERSION}/containerd-${VERSION}-linux-amd64.tar.gz\ntar xvf containerd-${VERSION}-linux-amd64.tar.gz -C /usr/local/\nmkdir /etc/containerd/ && containerd config default > /etc/containerd/config.toml\nwget -c -O /etc/systemd/system/containerd.service https://raw.githubusercontent.com/containerd/containerd/main/containerd.service\nsystemctl start containerd && systemctl enable containerd\n```
54,对于 containerd，在哪里可以找到各自的 Linux 发行版设置 Docker 存储库和安装 containerd.io 软件包的有关说明？,在[安装 Docker 引擎](https://docs.docker.com/engine/install/#server)中找到为各自的 Linux 发行版设置 Docker 存储库和安装 containerd.io 软件包的有关说明。
55,如何安装基于 Debian 发行版的 Docker？,执行以下命令安装基于 Debian 发行版的 Docker：\n```bash\napt-get install docker.io\n```
56,如何安装基于 Red Hat 发行版的 Docker？,执行以下命令安装基于 Red Hat 发行版的 Docker：\n```bash\nyum install docker\n```
57,什么是 containerd？,containerd 是一个面向云、开放且可移植的容器运行时，由 Docker 开源，用于管理容器生命周期、与高层次的编排系统（如 Kubernetes）进行集成等。
58,如何安装 containerd？,您可以从 Docker 官方仓库安装 `containerd.io` 软件包，也可以使用源代码构建。具体方法请参阅文章中的内容。
59,如何安装基于 Debian 发行版的 Docker？,执行命令 `apt-get install docker.io` 可以安装基于 Debian 发行版的 Docker。
60,如何安装基于 Red Hat 发行版的 Docker？,执行命令 `yum install docker` 可以安装基于 Red Hat 发行版的 Docker。
61,Kubernetes 使用哪些容器运行时（Container Runtime）来在 Pod 中运行容器？,Kubernetes 使用容器运行时接口（Container Runtime Interface，CRI）来与您所选择的容器运行时交互。默认情况下，kubeadm 使用 docker 作为容器运行时。kubelet 通过内置的 `dockershim` CRI 实现与 Docker 集成。如果您不指定运行时，则 kubeadm 会自动尝试检测系统上已经安装的运行时。
62,如何禁用 Selinux？,执行 `setenforce 0` 命令可以临时关闭 Selinux。如果需要永久关闭，请编辑 `/etc/sysconfig/selinux` 将 `SELINUX=enforcing` 替换为 `SELINUX=disabled`。
63,为什么需要禁用交换分区？,为了保证 kubelet 正常工作，您必须禁用交换分区。
64,如何设置节点名字？,使用命令 `hostnamectl set-hostname your-new-host-name` 来设置节点名字，并添加 `127.0.0.1 $(hostname)` 和 `::1 $(hostname)` 到 `/etc/hosts` 文件中。
65,工作节点需要开启哪些端口？,工作节点需要开启 TCP 入站端口 10250 和 30000-32767 等端口（默认的 NodePort 服务端口范围）。
66,控制平面节点需要开启哪些端口？,控制平面节点需要开启 TCP 入站端口 6443、2379-2380、10250、10251 和 10252 等端口。
67,如何检查网络适配器？,如果您有一个以上的网络适配器，同时您的 Kubernetes 组件通过默认路由不可达，我们建议您预先添加 IP 路由规则，这样 Kubernetes 集群就可以通过对应的适配器完成连接。
68,检查节点上 MAC 地址和 product_uuid 的唯一性为什么很重要？,Kubernetes 使用 MAC 地址和 product_uuid 来确定集群中的唯一节点。如果这些值在每个节点上不唯一，可能会导致安装失败。
69,集群中每个主机至少需要多少内存和 CPU？,每台主机至少需要 2 GB 或更多的内存，CPU 2 核或更多。
70,KLTS 是指什么？,KLTS (Kubernetes Long Term Support) 是 DaoCloud 自主维护的 Kubernetes。
71,Kubernetes 项目为基于哪些发行版的 Linux？,Kubernetes 项目为基于 Debian 和 Red Hat 的 Linux 发行版以及一些不提供包管理器的发行版提供通用的指令。
72,在这个示例中，最多允许多少次失败才算成功？,在这个示例中，最多允许 3 次失败才算成功。
73,检查状态时，应该使用哪个命令？,检查状态时，应该使用 kubectl describe StatusCheck status-check-example 命令。
74,HTTP 请求的地址是什么？,HTTP 请求的地址是 http://10.1.3.210:30028。
75,StatusCheck 的 mode 是什么？,StatusCheck 的 mode 是 Synchronous。
76,这个示例中的 StatusCheck 用于什么？,这个示例中的 StatusCheck 用于检查一个 HTTP 服务是否正常运行。
77,怎样才能更好地理解使用 Chaos Mesh 的一些方式？有哪些参考文献？,可以安装并实践使用 Chaos Mesh，并参考官方文档进行更多理解。官方文档网址为 https://chaos-mesh.org/zh/docs/。
78,Chaos Mesh 中的 StatusCheck 类型有哪些？请分别举例说明。,Chaos Mesh 中的 StatusCheck 类型有 Continuous 和 Synchronous 两种方式。Continuous 类型和 Synchronous 类型的 YAML 格式和检查状态方式均不同，请参考原文进行了解。
79,在 Chaos Mesh 的设置中，有哪些设置开关？,在 Chaos Mesh 的设置中，包含登录/登出，主题色彩，中英文设置等一些其它的设置开关。
80,在 Chaos Mesh 中，已经归档的实验、计划、工作流对象能否查看详情？,已经归档的实验、计划、工作流对象是不能查看详情了，因为归档的资源对象在 Kubernetes 中已经不存在了。
81,Chaos Mesh 的数据是保存在哪里？,Chaos Mesh 的数据保存在数据库中。
82,如何创建一个在每小时的 05 分会定时执行的计划，并在其中删除选中的 nginx Pod？,"可以通过以下 yaml 定义创建一个在每小时的 05 分会定时执行的计划，并在其中删除选中的 nginx Pod：\n```yaml\napiVersion: chaos-mesh.org/v1alpha1\nkind: Schedule\nmetadata:\nname: schedule-delay-example\nnamespace: default\nspec:\nschedule: ""5 * * * *""\nhistoryLimit: 2\nconcurrencyPolicy: Allow\ntype: ""PodChaos""\npodChaos:\naction: ""pod-kill""\nmode: one\nselector:\nnamespaces:\n- default\nlabelSelectors:\n""app.kubernetes.io/instance"": ""nginx""\n```"
83,如何创建一个 PodChaos 实验并删除选中的 nginx Pod？,"可以通过以下 yaml 定义创建一个 PodChaos 实验并删除选中的 nginx Pod：\n```yaml\napiVersion: chaos-mesh.org/v1alpha1\nkind: PodChaos\nmetadata:\nname: pod-kill-example2\nnamespace: default\nspec:\naction: pod-kill\nmode: one\nselector:\nnamespaces:\n- default\nlabelSelectors:\n""app.kubernetes.io/instance"": ""nginx""\n```"
84,Chaos Mesh 的仪表盘是什么样子的？,Chaos Mesh 的仪表盘展示了故障注入的相关信息，包括实验列表、实验详情、计划列表、计划详情、工作流列表等。
85,Chaos Mesh 支持哪些故障注入类型？,Chaos Mesh 支持的故障注入类型包括：PodChaos、NetworkChaos、IOChaos、TimeChaos、KernelChaos。
86,除了容器镜像拉取和 API 查询限制，还有哪些因素可能影响节点上的 Pod 启动速度？,在文章中提到了其他可能会影响 Pod 启动的因素包括容器运行时、磁盘速度、节点上的 CPU 和内存资源。
87,为了加快容器启动速度，哪个特性通过挂载具有正确 SELinux 标签的卷来代替递归地更改卷上的每个文件？,SELinux 挂载选项重标记功能。
88,在 Kubernetes v1.27 中，kubelet 配置中的 `memoryThrottlingFactor` 默认值是多少？,默认值为 0.9。
89,在 Kubernetes v1.22 中引入的名为 MemoryQoS 的特性门控有什么作用？,Memory
90,如何切换节点使用基于事件的生命周期变更检测？,可以显式切换为基于事件的生命周期变更检测来加速 kubelet 的启动速度。
91,在 Kubernetes v1.27 中，kubelet 将默认的 `kubeAPIQPS` 和 `kubeAPIBurst` 的值分别提高到了多少？,分别提高到了 50 和 100。
92,为什么需要提高 kubelet 默认 API 每秒查询限值？,在具有多个 Pod 的节点中，kubelet 需要同步 Pod 状态并准备 ConfigMap、Secret 或卷，需要大带宽访问 kube-apiserver。提高 kubelet 默认 API 每秒查询限值可以加快 Pod 启动速度。
93,如何限制节点上的并行容器镜像拉取数量？,可以在 kubelet 配置中设置 `maxParallelImagePulls` 字段来限制并行镜像拉取数量。
94,如何启用并行容器镜像拉取？,将 kubelet 配置中的 `serializeImagePulls` 字段设置为 false。
95,为什么并行容器镜像拉取有助于加快节点上的 Pod 启动？,并行容器镜像拉取可以同时拉取多个镜像，从而加速镜像拉取的时间。
96,在 eBPF socket 加速和 TCP/IP 栈延迟对比中，哪一个更优？,在 eBPF socket 加速和 TCP/IP 栈延迟对比中，eBPF socket 加速优于常规 TCP/IP 栈，性能优于常规 TCP/IP 栈近 50%。
97,请求消息大小的大小对 eBPF socket 加速的延迟是否有影响？,请求消息大小的大小对 eBPF socket 加速的延迟没有影响。
98,在使用 eBPF 进行加速时，有哪些协议级别的开销被消除了？,使用 eBPF 进行加速时，通过将数据包从源套接字的传输队列重定向到目标套接字的接收队列，消除了任何协议级别的开销（慢启动、拥塞避免、流量控制等）。
99,在禁用 Nagle 算法的情况下，TCP/IP 栈和 eBPF socket 加速的性能对比如何？,在禁用 Nagle 算法的情况下，TCP/IP 栈和 eBPF socket 加速的性能对比中，TCP/IP 栈的吞吐量增益完全消失了。此时 eBPF socket 加速凭借其低开销远远超过启用 Nagle 算法的 TCP/IP 栈的吞吐量。但随着发送消息越来越大，超过 MSS，TCP/IP 栈就会失去其批处理优势，在这些大数据包发送大小下，eBPF socket 加速凭借其低开销仍然优于常规 TCP/IP 栈。
100,什么是 Nagle 算法？,Nagle 算法是用来解决小数据包在慢速网络中泛滥导致拥塞的问题，在该算法中只要有一个 TCP 段在小于 TCP MSS 大小的情况下未被确认，就会进行批处理传输数据操作。
101,Cilium 使用哪些 eBPF 程序和映射实现 socket 层加速？,Cilium 使用以下 eBPF 程序和映射实现 socket 层加速：\n- eBPF 映射：Cilium_sock_ops（类型：BPF_MAP_TYPE_SOCKHASH）：存储 socket 信息。\n- eBPF 程序：\n- obpf_sockmap （类型：BPF_PROG_TYPE_SOCK_OPS）：拦截系统中 socket 建立连接操作，并将 socket 信息存储到 cilium_sock_ops。\n- obpf_redir_proxy（类型：BPF_PROG_TYPE_SK_MSG）：拦截系统中 sendmsg 系统调用，提取 key，将数据直接重定向到对端 socket。
102,Cilium 在处理源端和目标端在同一个节点的时候，是如何进行加速的？,Cilium 在处理源端和目标端在同一个节点的时候，在 socket 层将流量直接重定向到目标端 socket，这样直接绕过了整个 TCP/IP 协议栈，进而达到加速的效果。
103,Cilium 的整体架构是怎样的？,Cilium 的整体架构包含多个组件，其中 daemon 组件实现了 socket 层加速。daemon 组件会在集群中每个节点都启动一个 Pod，所以 socket 加速效果会应用在每个节点上。
104,在同一节点上调用的应用为什么需要 socket 层加速？,为了达到更快的服务速度，当两个互相调用的应用部署在同一个节点上的时候，每次请求和返回都需要经过 socket 层、TCP/IP 协议栈、数据链路层、物理层。如果请求和返回绕过 TCP/IP 协议栈，直接在 socket 层将数据包重定向到对端 socket，可以大大减少发送数据包耗时，从而加快服务速度。
105,Cilium 是基于什么技术实现 socket 层加速的？,Cilium 基于 eBPF 技术实现 socket 层加速。
106,在 Karmada 控制平面部署应用配置时，如何指定应用调度到哪些集群上？,应用配置中可以通过传播策略中的 clusterNames 指定应用调度到哪些集群上。
107,Karmada 中哪些控制器和调度器参与到跨集群故障恢复过程中？,跨集群故障恢复过程中，Karmada 中的 ReplicaScheduler 控制器、ReplicaReconciler 控制器、PropagationReconciler 控制器和 PodHook 调度器参与其中。
108,Divided 故障转移策略是如何工作的？,当集群故障时，调度器和控制器配合尝试将故障集群副本迁移到其他运行正常的集群。
109,Karmada 故障恢复支持哪两种方式？,Karmada 故障恢复支持 Duplicated 和 Divided 两种方式。
110,Karmada 的目标是什么？,Karmada 旨在为多云和混合云场景下的多集群应用管理提供便捷的自动化，具有集中式多云管理、高可用性和故障恢复等关键特性。
111,VictoriaMetrics 与 Prometheus 相比，有哪些优势和劣势？,优势：\n1. 性能优势；\n2. 更优秀的横向拓展、高可用方案；\n3. 数据多租户能力。\n劣势：\n1. 没有类似 Prometheus 的 WAL 日志；\n2. 为了更大程度优化存储，会选择丢失部分数据精度。
112,在 Grafana 仪表板上，如何查看 VictoriaMetrics 的缓存指标？,在 Grafana 仪表板上，可以查看每种类型缓存的当前内存使用情况和缓存命中率。使用 vm_cache_size_bytes、vm_cache_size_max_bytes、vm_cache_requests_total、vm_cache_misses_total 和 vm_cache_entries 指标，在面板上显示每种类型的缓存指标。
113,在 VictoriaMetrics 中，每种类型的缓存指标可以在哪个页面导出？,在 VictoriaMetrics 中，每种类型的缓存指标可以在“/metrics”页面导出。
114,VictoriaMetrics 的缓存存储在哪个目录中？如何在下次启动时删除这些缓存？,VictoriaMetrics 的缓存存储在“<-storageDataPath>/cache”目录中，在正常关机期间，这些缓存会被存储到该目录。如果需要在下次启动时删除这些缓存，可以通过在重启 VictoriaMetrics 之前将 reset_cache_on_startup 文件放置在“<-storageDataPath>/cache”目录中来执行。
115,VictoriaMetrics 支持以什么形式给 push 数据增加标签？,"VictoriaMetrics 支持以 label=""value"" 的形式给 push 数据增加标签，使用 pushmetrics.extraLabel 配置。"
116,与 Prometheus 相比，VictoriaMetrics 有哪些优势？,VictoriaMetrics 在性能、横向拓展、高可用方案和数据多租户等
117,如何进行 VictoriaMetrics 的缓存管理？,VictoriaMetrics 使用各种内部缓存，并支持在重启 VictoriaMetrics 之前将 reset_cache_on_startup 文件放置在“<-storageDataPath>/cache” 目录中来执行删除缓存操作。同时，VictoriaMetrics 使用各种内存缓存来加快数据摄取和查询性能，缓存指标可以在 “/metrics” 页面导出。
118,VictoriaMetrics 支持哪些数据推送方式？,当出现无法拉取指标的场景下，VictoriaMetrics 支持以 Prometheus 数据格式的方式，通过 push 模式进行指标推送，可使用 “-pushmetrics.url” 配置推送地址，“-pushmetrics.extraLabel” 配置拓展标签，“-pushmetrics.interval” 配置推送周期。
119,VictoriaMetrics 如何进行监控？,VictoriaMetrics 在 “/metrics” 页面以 Prometheus exposion 格式导出内部度量，并在 “/api/v1/status/active_queries“ 页面上公开当前正在运行的查询及其执行时间，在 ”/api/v1/status/top_queries” 页面上公开了执行时间最长的查询，在 “/api/v1/status/TSDB“ 页面返回 TSDB 统计信息。
120,VictoriaMetrics 的存储方式是什么？,VictoriaMetrics 将以类似 MergeTree 的数据结构存储时间序列数据。插入时，VictoriaMetrics 累积最多 1s 的数据，并将其转储到磁盘上的 `<storageDataPath>/data/small/YYYY_MM/` 子目录，形成具有以下名称模式的 `part：“rowsCount_blocksCount_minTimestamp_maxTimestamp”`。每个 part 由两个 “列” 组成：值和时间戳。此外，part 包含索引文件，用于在值和时间戳文件中搜索特定 series。part 会定期合并为较大的 part，生成的部分在 `<storageDataPath>/data/{small，big}/YYYY_MM/tmp` 子目录下构造。
