question,answer,source
What is a service mesh?,The service grid is a sub-module of the DCE platform. It has its own unique resource characteristics. There are two states of bound and unbound in the service grid.,
How to distinguish resources in different states in container management?,"By binding a resource (cluster or Namespace) to a workspace, the resource is divided into two states: bound to the workspace and unbound to the workspace. Resources bound to a workspace will appear in the workspace-resource group.",
What two resource states exist in container management?,"In container management, resources exist in two states: bound and unbound workspaces.",
What is a container management module?,"Container management is a sub-module of the DCE platform and supports three authorization methods: global management mode, sub-module management mode and resource-based management. In the container management module, users can grant the Kpanda Owner role to other users or user groups, or grant corresponding permissions to a user or user group on a resource through the permission management function of the container management module itself, or by assigning the resource (cluster or Namespace) Binding to a workspace inherits the role permissions of the user or user group in the workspace.",
How to filter nodes?,"In the filter list, you can filter nodes according to clusters and health status, or search through the search box.",
What information can be viewed on the node details page?,"On the node details page, you can view the number of ongoing alarms and the trend chart of resource consumption such as CPU, memory, disk, etc.",
Is insight-agent required to be installed in the cluster for node monitoring?,"Yes, insight-agent needs to be installed in the cluster and the application must be running to perform node monitoring.",
What is node monitoring?,"Node monitoring is a method of selecting the current health status of nodes in the cluster and the number of exceptions corresponding to the container group through an overview. On the current node details page, you can view the number of alarms and the trend chart of resource consumption such as CPU, memory, disk, etc. .",
What fields does Insight provide for custom rendering of email subjects?,"Multiple fields can be used for custom rendering, such as `.status`, `.alertgroup`, `.alertname`, `.severity`, `.target_type`, etc.",
"When Insight sends an email, which fields will the subject use to render?",The theme will use commonLabels content to render the template. The default theme is `[{{ .status }}] [{{ .severity }}] Alert: {{ .alertname }}`.,
"In Insight's threshold template, how to determine whether a namespace exists?","You can use the if statement to determine, the example code is `{{if .Labels.namespace }}`.",
What syntax is used for Insight alert notification templates?,Insight alarm notification template uses Go Template syntax.,
What methods of alarm notification does Insight support?,"Insight supports alert notifications through Webhook, Email, and corporate WeChat.",
"Does the form include testing of functions such as alarm rules, alarm templates, and notification methods? Have these features passed the test?","Yes, the table includes manual testing of multiple functions such as alarm rules, alarm templates, and notification methods, and these functions have all passed the test,✅.",
Is there a test to verify the functionality of the instantaneous indicator api fields? What were the results of this test?,"Yes, there is a manual test to verify the function of the instantaneous indicator api field in this form, and the test passed, ✅.",
What are the test results of adding custom indicator collection?,"The test of adding custom indicator collection passed,✅.",
What are the test results in this form?,"The table shows the test results of each test function on OCP4.10 (k8s 1.23.0). ✅ indicates that the test passed, and ❌ indicates that the test failed.",
What Openshift cluster compatibility features does this table test?,"This form tests multiple functions of Openshift cluster compatibility, including collecting and querying indicators, adding custom indicator collection, real-time indicator query, instantaneous indicator query, querying indicators over a period of time, and batch querying the CPU and memory usage of nodes and clusters. rate and many other functions.",
How to load observability module image into Docker or containerd from local?,"After decompressing the tar archive, use the load command of Docker or containerd to load the image file: Docker: docker load -i images.tar; containerd: ctr image import images.tar.",
Please briefly describe the steps for chart-syncer to synchronize images to the image warehouse.,(1) Create the load-image.yaml file and fill in the relevant parameters; (2) Execute the synchronization command charts-syncer sync --config load-image.yaml.,
Please briefly describe the steps to install or upgrade the observability module.,Installation steps: (1) Load the image according to the image warehouse selection method; (2) Use Helm to install. Upgrade steps: (1) Determine the upgrade method; (2) Back up parameters; (3) Execute Helm upgrade command.,
Where can I download the Observability module installation package?,The observability module installation package can be downloaded from the Download Center (../../../download/dce5.md).,
What is the observability module?,"The observability module is a monitoring tool that can conduct real-time monitoring and data collection of the running status of applications, and provides rich indicators and alarm rules.",
Does this application interface with OpenTelemetry and use the OTLP protocol to export tracking data?,"Yes, this application is connected to OpenTelemetry and uses the OTLP protocol to export tracking data.",
What container resource limits are specified in this deployment file?,The deployment file does not specify any container resource limits.,
What mount points are defined in this deployment file?,"Two mount points are defined in this deployment file, namely `kube-api-access-sp2mz` and `opentelemetry-auto-instrumentation`.",
What environment variables are defined in this deployment file?,"Multiple environment variables are defined in this deployment file, including `OTEL_JAVAAGENT_DEBUG`, `OTEL_INSTRUMENTATION_JDBC_ENABLED`, `SPLUNK_PROFILER_ENABLED`, `JAVA_TOOL_OPTIONS`, `OTEL_TRACES_EXPORTER`, `OTEL_EXPORTER_OTLP_ENDPOINT`, `OTEL_EXPORTER_OTLP_TIMEOUT`, `OTEL_TRA CES_SAMPLER`, `OTEL_TRACES_SAMPLER_ARG`, `SPLUNK_TRACE_RESPONSE_HEADER_ENABLED `, `OTEL_SERVICE_NAME`, `OTEL_RESOURCE_ATTRIBUTES_POD_NAME`, `OTEL_RESOURCE_ATTRIBUTES_POD_UID`, `OTEL_RESOURCE_ATTRIBUTES_NODE_NAME` and `OTEL_PROPAGATORS`.",
What is this code used for?,"This code is a Kubernetes deployment file, used to deploy an application with OpenTelemetry automatic instrumentation to a Kubernetes cluster.",
How to collect indicators in Insight?,The recommended way is through servicemonitor or podmonitor. The corresponding object needs to be created and labeled: "operator.insight.io/managed-by": "insight" to be recognized by the Operator.,
How to check if the indicator is working properly?,You can check if your metrics are working properly by visiting http://localhost:8888/metrics.,
How to add custom indicators?,"For Golang applications, you can refer to the implementation of the exposeClusterMetric method. For Java applications, see opentelemetry-java-docs/prometheus.",
How to expose indicator interface in Java application?,"After using the hotel agent to complete the automatic connection of the link, add the environment variable OTEL_METRICS_EXPORTER=prometheus to directly expose JVM related indicators. To expose custom metrics, see opentelemetry-java-docs/prometheus.",
How to expose indicator interface in Golang application?,"Just add the corresponding method to the application, install the relevant dependencies, use OTel SDK to create the initialization function, and then initialize it in main.go.",
Which languages does Indicator Query support for advanced custom queries?,Indicator query supports using Prom,
What are the differences between ordinary queries and advanced queries?,"Ordinary queries provide visual condition selection and result display on the interface, while advanced queries require manual input of Prom",
How to perform advanced query?,"- In the left navigation bar, click `Data Query` -> `Indicator Query`, click the `Advanced Query` tab to switch to the advanced query page. \n- Enter a Prom",
What are the steps for a normal query?,"In the left navigation bar, click `Data Query` -> `Indicator Query`. \n- After selecting the cluster, type, node, and indicator name query conditions, click `Search`.",
Which resources can be queried for indicator data by indicator query?,Indicator query supports querying the indicator data of each resource of the container.,
How to clone a storage volume?,"To clone a storage volume, you need to log in to the DCE 5.0 platform with global service cluster administrator rights, enter the `kpanda-global-cluster` cluster details, select the left navigation `Workload->Stateful Load`, and find the stateful load of `vmstorage` , click `⋮` on the right side of the target, and select `Status->Stop->OK` in the pop-up menu. Then log in to the `master` node of the `kpanda-global-cluster` cluster on the command line and execute the following command to copy the vm-data directory in the vmstorage container and store the indicator information locally:\n```bash\nkubectl cp -n insight-system vmstorage-insight-victoria-metrics-k8s-stack-1:vm-data ./vm-data\n```\nThen log in to the DCE 5.0 platform and enter the `kpanda-global-cluster` cluster details, select the left Side navigation `Container Storage -> Data Volume (PV)`, click `Clone` in the upper right corner, and modify the capacity of the data volume. After deleting the data volume of the previous vmstorage, wait for a while. After the storage volume declaration is bound to the cloned data volume, execute the following command to import the data exported in step 3 into the corresponding container, and then start the previously suspended `vmstorage` ：\n```bash\nkubectl cp -n insight-system ./vm-data vmstorage-insight-victoria-metrics-k8s-stack-1:vm-data\n```",
How to change the disk capacity of vmstorage?,"To change the disk capacity of vmstorage, you need to log in to the DCE 5.0 platform with global service cluster administrator rights, enter the `kpanda-global-cluster` cluster details, select the left navigation `custom resources`, and after finding the custom resource of `vmcluster`, click Switch to the custom resource details page under the `insight-system` namespace, and select `Edit YAML` from the right menu of `insight-victoria-metrics-k8s-stack`. On the edit YAML page, modify according to the legend and click `OK`. Then select the left navigation `Container Storage -> Data Volume Statement (PVC)` again, find the data volume statement bound to vmstorage and confirm that the modification has taken effect. On a certain PVC details page, click the associated storage source (PV), open the data volume details page and click the `Update` button in the upper right corner, modify `Capacity` and click `OK`, wait a moment until the expansion is successful.",
How to enable storage pool expansion?,"To enable storage pool expansion, you need to log in to the DCE 5.0 platform with global service cluster administrator rights, enter the `kpanda-global-cluster` cluster details, select the left navigation `Container Storage -> Data Volume Statement (PVC)`, and find the vmstorage bound After the data volume is declared, click to enter the details page to confirm the storage pool bound to the PVC. Then select `Container Storage -> Storage Pool (SC)` in the left navigation, find `local-path`, click `⋮` on the right side of the target, and select `Edit` in the pop-up menu. Turn on `Expansion` on the edit page and click `OK`.",
What is vmstorge disk expansion?,"This article introduces the method of vmstorge disk expansion, which includes three steps: enabling storage pool expansion, changing the disk capacity of vmstorage, and cloning the storage volume.",
How do I edit or delete a message template?,"Click `︙` on the right side of the list and select `Edit` or `Delete` in the pop-up menu to modify or delete the message template. Please note that templates cannot be restored after deletion, so please proceed with caution.",
Does Observability come with pre-configured message templates?,"Yes, Observability comes pre-configured with message templates. If you need to define the content of the template, please refer to: [Configuring Notification Template](../../best-practice/notifacation-helper.md)",
How to create a message template?,"1. In the left navigation bar, select `Alarm Center` -> `Message Template`, and click the `New Message Template` button. \n2. Fill in the template content.",
What notification objects does observability provide?,"Observability provides different notification objects such as email, corporate WeChat, DingTalk, and Webhook.",
How long does it take for the fluent-bit pod to take effect after restarting?,"After restarting the fluent-bit pod, you need to wait a few seconds to a few minutes for it to take effect.",
How to update insight-agent configuration?,The insight-agent configuration can be updated in the Helm application management page. Please refer to the documentation for specific steps.,
How to enable the collection of k8s audit logs of the working cluster?,"You need to select the cluster that is connected and needs to enable k8s audit log collection, update the insight-agent configuration on the Helm application management page, and then turn on/off the k8s audit log collection button on the interface. When connected to a cluster, you still need to restart the fluent-bit pod after switching to take effect.",
How to confirm whether the k8s audit log of the working cluster is enabled?,"You can execute the command `ls /var/log/kubernetes/audit` to check whether there are audit logs generated in the `/var/log/kubernetes/audit` directory. If there is, it means that the k8s audit log is successfully opened.",
How to enable the k8s audit log of the working cluster?,"When creating a working cluster through DCE 5.0, confirm that the k8s audit log of the cluster is selected as 'true', so that the k8s audit log of the created working cluster is enabled. You can also manually enable it after the creation is completed. Please refer to the documentation for specific steps.",
How to enable/disable the k8s audit log collection function in the connected cluster?,"This can be achieved by selecting the cluster that needs to turn on/off the function, updating the insight-agent configuration on the helm application management page, and turning on/off the button on the page. At the same time, when connected to a cluster, you still need to restart the fluent-bit pod after switching it on and off to take effect.",
How to enable the k8s audit log collection function of the working cluster?,"When creating a working cluster through DCE 5.0, you need to set this button to the enabled state and enable the k8s audit log collection function. Confirm that the k8s audit log of the working cluster is selected as 'true', so that the k8s audit log of the created working cluster is enabled.",
How to turn off the k8s audit log collection function of the management cluster?,"Similar to the enable function, you only need to set the parameter to false in step 4.",
How to enable the k8s audit log collection function of the management cluster?,You can enable the k8s audit log collection function of the management cluster through the following steps:\n1. Add chartmuseum to the helm repo;\n2. Save the current insight-agent helm value;\n3. Get the current version number and update the helm value configuration;\n n4. Update helm value configuration and restart all fluentBit pods under insight-system.,
How to confirm whether k8s audit log is enabled?,You can check whether there are audit logs generated in the `/var/log/kubernetes/audit` directory by executing the `ls /var/log/kubernetes/audit` command on the node.,
What is k8s audit log?,"The k8s audit log refers to the audit log generated by k8s itself, which records the user's operations in Kubernetes. You can monitor and audit operations in Kubernetes by collecting k8s audit logs.",
How to turn off the audit log function of the Kubernetes cluster?,Just remove the relevant commands in `spec.containers.command`.,
How to configure the API server to enable audit logs?,"Open the API server's configuration file kube-apiserver.yaml, and add the following configuration information:\n1. Add the command under `spec.containers.command`:\n```yaml\n--audit-log-maxage=30 \n--audit-log-maxbackup=1\n--audit-log-maxsize=100\n--audit-log-path=/var/log/audit/kube-apiserver-audit.log\n-- audit-policy-file=/etc/kubernetes/audit-policy/apiserver-audit-policy.yaml\n```\n2. Add under `spec.containers.volumeMounts`:\n```yaml\n- mountPath: /var/log/audit\nname: audit-logs\n- mountPath: /etc/kubernetes/audit-policy\nname: audit-policy\n```\n3. Add under `spec.volumes`: \n```yaml\n- hostPath:\npath: /var/log/kubernetes/audit\ntype: """"\nname: audit-logs\n- hostPath:\npath: /etc/kubernetes/audit-policy\ ntype: """"\nname: audit-policy\n```",
In which folder should the audit log policy file be placed?,The audit log Policy file needs to be placed in the `/etc/kubernetes/audit-policy/` folder and named `apiserver-audit-policy.yaml`.,
How to enable the audit log function of the Kubernetes cluster?,1. Prepare the Policy file for the audit log;\n2. Configure the API server and enable the audit log;\n3. Restart and verify.,
What should I do if the user does not bind an email address?,The system will prompt the user that the email address is not bound and needs to contact the administrator to reset the password.,
How to tell if the username is correct?,"After entering the username and clicking ""Submit"", it will automatically determine whether the username is correct and give corresponding prompts.",
What are the requirements for resetting my password?,The requirements for setting a new password are consistent with the password rules when the user was created.,
"If the user has not set up an email address, how to reset the password?",You can only contact the administrator for password reset.,
What should I do if I don’t receive the email one minute after clicking submit?,Click the "Submit" button again to resend the verification email.,
How to reset password?,"First, click ""Forgot Password"" on the login interface, enter your username and submit, then find the password reset email in your mailbox, and follow the on-screen prompts to set a new password.",
"If resource quotas are not set in the shared cluster, do I need to set resource quotas when creating a namespace?","If resource quotas are not set in the shared cluster, you do not need to set resource quotas when creating the namespace.",
How does a workspace administrator unbind the created namespace from the workspace?,Workspace administrators can unbind the created namespace from the workspace through container management or global management. The corresponding resource quota will be released when unbundled.,
How to set CPU requests when a namespace is bound to a workspace?,"When a namespace is bound to a workspace, if the CPU request has been set in the shared cluster, the namespace should be created such that CPU request ≤ CPU request has been set.",
What is the difference between resource groups and shared resources?,"Resource groups and shared resources both come from container management, but cluster binding and sharing to the same workspace will produce two completely different effects. Binding resources enables users/user groups in the workspace to have full management and usage rights for the cluster. Adding shared resources enables users/user groups in the workspace to have usage rights for the cluster resources. These resources can be created when creating a namespace. when used.",
What are resource quotas?,"Resource quota refers to the function of limiting the maximum usage of a user in shared resources by setting functions such as CPU request, CPU limit, memory request, memory limit, total storage request, and storage volume declaration.",
How can Java applications expose JVM monitoring indicators?,"You can use some frameworks or tools to enable Java applications to expose JVM monitoring indicators. For example, you can use Spring Boot Actuator to expose monitoring data. In addition, you can also use some specialized monitoring tools, such as Prometheus, Grafana, etc., to expose monitoring data.",
How to let Insight collect existing JVM indicators?,"You can let Insight collect existing JVM metrics by adding annotations to the workload. Specifically, the following annotations need to be added: \n```yaml\nannatation: \ninsight.opentelemetry.io/metric-scrape: ""true"" # Whether to collect \ninsight.opentelemetry.io/metric-path: ""/"" # Path to collect metrics\ninsight.opentelemetry.io/metric-port: ""9464"" # Port to collect metrics\n```\nAmong them, `insight.opentelemetry.io/metric-scrape` is used to specify whether to collect, `insight.opentelemetry.io/metric-path` is used to specify the path to collect metrics, and `insight.opentelemetry.io/metric-port` is used to specify the port to collect metrics.",
What information can be found through log query?,"Log query can find the corresponding information generated by nodes, events, and workloads. At the same time, log source information and contextual raw data are combined to assist in locating problems.",
How to view log context?,"Click the icon behind a single log to view the log details and context of the log. It also supports downloading the content of the queried log context, and currently supports exporting files in .csv format.",
How to export logs?,"Click `Download` in the upper right corner of the list to download the log content under the corresponding filter conditions. Currently, log query results are supported to be exported to files in .csv format. For performance reasons, the current limit of downloaded logs is 2,000.",
How to query logs?,"In the left navigation bar, select `Data Query` -> `Log Query`. After selecting the query conditions, click `Search` and the log records in chart form will be displayed. The latest log is shown at the top.",
What query types are supported by log query?,"Log query supports log query of nodes, events, and workloads.",
How to confirm the running status of Helm application `Insight` in the global management cluster?,Check the status of the Helm application `Insight` in the console and confirm that it is in the `Running` state.,
What is the login method for native Grafana?,"Click Login in the lower right corner, and use the default username and password (admin/admin) to log in in the pop-up window.",
How to access native Grafana?,"The access address is `http://ip:access port/ui/insight-grafana`, for example: `http://10.6.10.233:30209/ui/insight-grafana`, use the default user name and password (admin/admin ) to log in.",
How to delete a text message group that has been added?,"On the notification list page, click `︙` on the right side of the list to edit or delete the SMS group.",
How to add one or more SMS groups?,"Click `Alarm Center` -> `Notification Configuration` -> `SMS` in the left navigation bar, click `Add SMS Group`, and enter the name, recipient of the SMS, mobile phone number and notification server. The notification server needs to be added and created in `Notification Configuration` -> `Notification Server` in advance. Currently, two cloud servers, Alibaba Cloud and Tencent Cloud, are supported. For specific configuration parameters, please refer to your own cloud server information.",
"How to send test information, edit or delete webhooks?","After the configuration is completed, it will automatically return to the notification list. Click `︙` on the right side of the list and select the corresponding option.",
How to configure Webhook?,"Click `Alarm Center` -> `Notification Configuration` -> `Webhook` in the left navigation bar, click `New Webhook`, and add one or more Webhooks. For Webhook URLs and more configuration methods, please refer to [webhook documentation](https://github.com/webhooksite/webhook.site).",
"How to send test information, edit or delete DingTalk group bots?","After the configuration is completed, it will automatically return to the notification list. Click `︙` on the right side of the list and select the corresponding option.",
How to configure DingTalk group robot?,"Click `Alarm Center` -> `Notification Configuration` -> `DingTalk` in the left navigation bar, click `Add Group Robot`, and add one or more group robots. For the URL of DingTalk group robots, please refer to [DingTalk Official Document: Custom Robot Access](https://open.dingtalk.com/document/robots/custom-robot-access).",
"How to send test information, edit or delete enterprise WeChat group robot?","After the configuration is completed, it will automatically return to the notification list. Click `︙` on the right side of the list and select the corresponding option.",
How to configure an enterprise WeChat group robot?,"Click `Alarm Center` -> `Notification Configuration` -> `Enterprise WeChat` in the left navigation bar, click `Add Group Robot`, and add one or more group robots. For the URL of the enterprise WeChat group robot, please refer to [Enterprise WeChat official document: How to use the group robot](https://developer.work.weixin.qq.com/document/path/91770).",
How to delete a mailbox group that has been added?,"On the notification list page, click `︙` on the right side of the list to edit or delete the mailbox group.",
How to add one or more email addresses as a mailing group?,"After entering `Observability`, click `Alarm Center` -> `Notification Configuration` in the left navigation bar. By default, it is located in the email notification object. Click `Add Email Group` to add one or more email addresses.",
In what ways can messages be sent to users?,"Messages can be sent to users through email, WeChat Business, DingTalk, Webhook, and SMS.",
"In the service grid, can the Workspace Admin and Workspace Viewer roles be bound to workspaces?","No, only the Admin role can bind a workspace.",
"In a service mesh, which roles can perform system upgrades?","The Admin, Workspace Admin, and Workspace Editor roles can all perform system upgrades. The Workspace Viewer does not have this permission.",
"In a service mesh, which roles have sidecar management rights?","All roles have sidecar management permissions, but different roles have different permissions. Specifically, only the Admin, Workspace Admin, and Workspace Editor roles can enable, disable sidecar injection, and set sidecar resources; the Workspace Viewer role does not have this permission.",
Can the Workspace Editor and Workspace Viewer roles delete service entries?,"No, only Admin and Workspace Admin roles can delete service entries.",
"In a service mesh, which roles can edit and delete the mesh?",Both the Admin and Workspace Admin roles can edit and delete grids.,
"In a service mesh, which roles can create meshes?",Only the Admin role can create grids.,
Can roles be customized in service mesh?,"Yes, starting from v0.6.0 of DCE 5.0, the global management module supports configuring custom roles for the service mesh and granting different permissions.",
What user roles does the service mesh support?,"The service grid supports the following user roles: Admin, Workspace Admin, Workspace Editor, and Workspace Viewer.",
What is pinia store?,"pinia store is a state management library that can be used to share state between front-end child applications and parent applications. When connected to the DCE 5.0 parent application Anakin, information such as child product registration information will be included in the pinia store.",
How to connect the front-end application to the DCE 5.0 parent application Anakin?,"Front-end applications can use qiankun to connect to the DCE 5.0 parent application Anakin. For details, see the examples above and qiankun official documentation.",
Where is the navigation bar category of global management configured?,The navigation bar category of global management is configured in ConfigMap.,
How to register container management into navigation bar menu?,"Container management can be registered to the navigation bar menu through GProductNavigator CR, see the example above for details.",
What is container management?,"Container management is a functional item of DCE global management, which is used to manage the life cycle of containerized applications, including creation, deployment, scaling, upgrade and other operations.",
How to perform `helm upgrade` to upgrade the global management version?,"You can execute the following command to upgrade, where `ghippo` is the name of the Helm chart, `ghippo-system` is the namespace of the Helm chart, and `0.9.0` is the global management version number. \n```shell\nhelm upgrade ghippo ghippo/ghippo \\nn ghippo-system \\nf ./bak.yaml \\n--set global.imageRegistry=$imageRegistry \\n--version 0.9.0\n ```",
How to update ghippo crds?,You can execute the following command to update. \n```shell\nkubectl apply -f ./crds\n```,
Which command should be executed to back up the `--set` parameter of the old version before upgrading the global management version?,You should execute the following command to back up the `--set` parameter of the old version. \n```shell\nhelm get values ghippo -n ghippo-system -o yaml > bak.yaml\n```,
How do you choose which global management version you want to install?,"You can execute the following command, where `0.9.0` is the global management version number. \n```shell\nhelm search repo ghippo/ghippo --versions\n```",
How to update the globally managed helm repository?,"You can execute the following command to update, where `ghippo` is the name of the Helm chart and `ghippo-system` is the namespace of the Helm chart. \n```shell\nhelm repo update ghippo\n```",
How to add a globally managed helm repository?,You can execute the following command to add it. \n```shell\nhelm repo add ghippo http://{harbor url}/chartrepo/{project}\n```,
How to check whether the global management helm repository exists?,You can execute the following command and check whether it exists by checking the returned results. \n```shell\nhelm repo list | grep ghippo\n```,
What parameters need to be backed up during upgrade?,It is recommended to back up the `--set` parameter of the old version and execute the following command to back up: helm get values ghippo -n ghippo-system -o yaml > bak.yaml.,
What are the ways to load images?,"There are two ways, one is to synchronize the image to the mirror warehouse through chart-syncer, and the other is to load it directly using Docker or containerd.",
Where can I download the global management module?,The global management module can be downloaded from the Download Center (../../download/dce5.md).,
What should you pay attention to when using OIDC?,"The following matters need to be noted: 1) Users who log in for the first time will not be given any default permissions and require administrator authorization; 2) Users will be synchronized to the `User and Access Control` of DCE 5.0 after completing the first login - > `User List`; 3) For practical operation tutorials, please refer to the special operation demonstration video or refer to relevant documentation.",
How to carry out user identity authentication interaction process?,"The user first initiates a single sign-on request to DCE 5.0. DCE 5.0 constructs an OIDC authorization request based on the information carried in the login link and sends it to the browser. After receiving the request, the browser forwards it to the enterprise IdP, where the user enters the username and password and performs verification. The enterprise IdP builds an ID Token and sends an OIDC authorization response to the browser. After the browser responds, it forwards the OIDC authorization response to DCE 5.0. DCE 5.0 takes out the ID Token from the OIDC authorization response, maps it to a specific user list according to the configured identity conversion rules, and issues the Token. Finally complete the single sign-on and access DCE 5.0.",
How to use OIDC protocol based identity provider functionality in DCE 5.0?,"1) Log in to the web console using a user with the `admin` role; 2) Navigate to `Users and Access Control` under `Global Management`, select `Identity Provider`-> `OIDC`, and click Create Identity Provider ;3) Fill in the form fields, establish a trust relationship with the identity provider, and click Save.",
What is the role of OIDC?,The role of OIDC is to allow enterprises or organizations to use their own account systems and build trust relationships with identity providers based on the OIDC protocol without the need to create usernames and passwords for each organizational member.,
What is OIDC?,OIDC is an identity authentication standard protocol based on the OAuth2 protocol. It is an identity layer used to establish a trust relationship between identity providers and users.,
"If there is no operation after logging in, how long will it take for the user to automatically log out?","If there is no operation after logging in, the user will automatically log out after 2 hours.",
"If the login is successful, which state will the user enter?","If the login is successful, the user will enter the logged in state.",
What information does a user need to enter to log in to the system?,Users need to enter their username and password to log in to the system.,
How does DCE 5.0 assign accounts to users?,DCE 5.0 assigns an account with certain permissions to the user through the administrator creating a new user in `User and Access Control`.,
Why do users need an account that uniquely identifies the user?,Users need an account that uniquely identifies the user to identify themselves in the system and bind their own data.,
What if a user forgets their password and cannot verify their identity via email?,"If the user does not set an email address or sets an incorrect email address, the user with the `admin` role needs to find the user by user name in `Global Management->User and Access Control`, and set a new email address for the user in the user details. login password. If the mail server is not connected, please check whether the address, username and password are correct.",
How to test whether the mail server was successfully set up?,"After the configuration is completed, click `Save`, then click `Test Mail Server`. If a prompt for successfully sending the email appears in the upper right corner of the screen, it means that the email server has been set up successfully.",
How to configure the mail server in DCE 5.0?,"The configuration steps are as follows:\n1. Log in to the Web console using a user with the `admin` role. \n2. Click `Global Management` at the bottom of the left navigation bar. \n3. Click `Platform Settings` and select `Mail Server Settings`. \n4. Fill in the SMTP server address, SMTP server port, user name, password and sender email address, and then click Save and Test Mail Server.",
When does DCE 5.0 use email to authenticate users?,DCE 5.0 uses email to authenticate users when they forget their password.,
How to manage MinIO instances in DCE?,"Users can view all MinIO instances in the MinIO instance list and perform related operations on them, such as: view overview, view monitoring, view configuration parameters, modify configuration parameters, etc. It also supports the creation of new MinIO instances, and the required MinIO instance can be located through the search function. If a MinIO instance is no longer needed, you can also delete the resource to release it.",
What operations can users perform on Redis and Kafka instances in DCE?,"Users can view overviews, view monitoring, view configuration parameters, and modify configuration parameters for Redis and Kafka instances. In addition, you can also search for instance names to locate them and delete unnecessary instances.",
How can users search for instance names in DCE? What operations are supported in the instance list?,"Users can search by entering the instance name or filter the instance list. The instance list supports viewing the list, creating instances, updating instance configurations, and deleting instances.",
What operating permissions does the Workspace Viewer user have in the Elasticsearch module?,"View the list, instance name search, and various operation permissions in Elasticsearch instance details.",
